1	2	3	4	label	sentence1	sentence2
main-captions	MSRvid	2012test	0001	5.000	a plane is taking off .	an air plane is taking off .
main-captions	MSRvid	2012test	0004	3.800	a man is playing a large flute .	a man is playing a flute .
main-captions	MSRvid	2012test	0005	3.800	a man is spreading shreded cheese on a pizza .	a man is spreading shredded cheese on an uncooked pizza .
main-captions	MSRvid	2012test	0006	2.600	three men are playing chess .	two men are playing chess .
main-captions	MSRvid	2012test	0009	4.250	a man is playing the cello .	a man seated is playing the cello .
main-captions	MSRvid	2012test	0011	4.250	some men are fighting .	two men are fighting .
main-captions	MSRvid	2012test	0012	0.500	a man is smoking .	a man is skating .
main-captions	MSRvid	2012test	0013	1.600	the man is playing the piano .	the man is playing the guitar .
main-captions	MSRvid	2012test	0014	2.200	a man is playing on a guitar and singing .	a woman is playing an acoustic guitar and singing .
main-captions	MSRvid	2012test	0016	5.000	a person is throwing a cat on to the ceiling .	a person throws a cat on the ceiling .
main-captions	MSRvid	2012test	0017	4.200	the man hit the other man with a stick .	the man spanked the other man with a stick .
main-captions	MSRvid	2012test	0018	4.600	a woman picks up and holds a baby kangaroo .	a woman picks up and holds a baby kangaroo in her arms .
main-captions	MSRvid	2012test	0019	3.867	a man is playing a flute .	a man is playing a bamboo flute .
main-captions	MSRvid	2012test	0020	4.667	a person is folding a piece of paper .	someone is folding a piece of paper .
main-captions	MSRvid	2012test	0021	1.667	a man is running on the road .	a panda dog is running on the road .
main-captions	MSRvid	2012test	0022	3.750	a dog is trying to get bacon off his back .	a dog is trying to eat the bacon on its back .
main-captions	MSRvid	2012test	0025	5.000	the polar bear is sliding on the snow .	a polar bear is sliding across the snow .
main-captions	MSRvid	2012test	0026	0.500	a woman is writing .	a woman is swimming .
main-captions	MSRvid	2012test	0028	3.800	a cat is rubbing against baby 's face .	a cat is rubbing against a baby .
main-captions	MSRvid	2012test	0029	5.000	the man is riding a horse .	a man is riding on a horse .
main-captions	MSRvid	2012test	0030	3.200	a man pours oil into a pot .	a man pours wine in a pot .
main-captions	MSRvid	2012test	0031	2.800	a man is playing a guitar .	a girl is playing a guitar .
main-captions	MSRvid	2012test	0032	4.600	a panda is sliding down a slide .	a panda slides down a slide .
main-captions	MSRvid	2012test	0034	3.000	a woman is eating something .	a woman is eating meat .
main-captions	MSRvid	2012test	0035	5.000	a woman peels a potato .	a woman is peeling a potato .
main-captions	MSRvid	2012test	0038	4.800	the boy fell off his bike .	a boy falls off his bike .
main-captions	MSRvid	2012test	0040	5.000	the woman is playing the flute .	a woman is playing a flute .
main-captions	MSRvid	2012test	0042	4.200	a rabbit is running from an eagle .	a hare is running from a eagle .
main-captions	MSRvid	2012test	0044	4.200	the woman is frying a breaded pork chop .	a woman is cooking a breaded pork chop .
main-captions	MSRvid	2012test	0046	4.000	a girl is flying a kite .	a girl running is flying a kite .
main-captions	MSRvid	2012test	0047	4.000	a man is riding a mechanical bull .	a man rode a mechanical bull .
main-captions	MSRvid	2012test	0048	4.909	the man is playing the guitar .	a man is playing a guitar .
main-captions	MSRvid	2012test	0050	3.000	a woman is dancing and singing with other women .	a woman is dancing and singing in the rain .
main-captions	MSRvid	2012test	0052	2.400	a man is slicing a bun .	a man is slicing an onion .
main-captions	MSRvid	2012test	0053	4.200	a man is pouring oil into a pan .	a man is pouring oil into a skillet .
main-captions	MSRvid	2012test	0054	3.400	a lion is playing with people .	a lion is playing with two men .
main-captions	MSRvid	2012test	0055	5.000	a dog rides a skateboard .	a dog is riding a skateboard .
main-captions	MSRvid	2012test	0056	3.750	someone is carving a statue .	a man is carving a statue .
main-captions	MSRvid	2012test	0057	2.750	a woman is slicing an onion .	a man is cutting an onion .
main-captions	MSRvid	2012test	0058	5.000	a woman peels shrimp .	a woman is peeling shrimp .
main-captions	MSRvid	2012test	0059	4.000	a woman is frying fish .	a woman is cooking fish .
main-captions	MSRvid	2012test	0061	3.600	a woman is playing an electric guitar .	a woman is playing a guitar .
main-captions	MSRvid	2012test	0062	1.600	a baby tiger is playing with a ball .	a baby is playing with a doll .
main-captions	MSRvid	2012test	0064	1.750	a person is slicing a tomato .	a person is slicing some meat .
main-captions	MSRvid	2012test	0065	5.000	a person cuts an onion .	a person is cutting an onion .
main-captions	MSRvid	2012test	0068	1.000	a man is playing the piano .	a woman is playing the violin .
main-captions	MSRvid	2012test	0069	1.000	a woman is playing the flute .	a man is playing the guitar .
main-captions	MSRvid	2012test	0070	2.375	a man is cutting up a potato .	a man is cutting up carrots .
main-captions	MSRvid	2012test	0071	3.800	a kid is playing guitar .	a boy is playing a guitar .
main-captions	MSRvid	2012test	0072	3.200	a boy is playing guitar .	a man is playing a guitar .
main-captions	MSRvid	2012test	0073	3.200	a man is playing guitar .	a boy is playing a guitar .
main-captions	MSRvid	2012test	0075	4.400	a little boy is playing a keyboard .	a boy is playing key board .
main-captions	MSRvid	2012test	0077	3.750	a man is playing a guitar .	a man is playing an electric guitar .
main-captions	MSRvid	2012test	0078	4.750	a dog licks a baby .	a dog is licking a baby .
main-captions	MSRvid	2012test	0080	3.200	a woman is slicing an onion .	a man is cutting and onion .
main-captions	MSRvid	2012test	0081	1.556	a man is playing the guitar .	a man is playing the drums .
main-captions	MSRvid	2012test	0083	3.938	a woman is slicing a pepper .	a woman is cutting a red pepper .
main-captions	MSRvid	2012test	0084	5.000	a man is playing the drums .	a man plays the drum .
main-captions	MSRvid	2012test	0085	5.000	a woman rides a horse .	a woman is riding a horse .
main-captions	MSRvid	2012test	0086	4.000	a man is eating a banana by a tree .	a man is eating a banana .
main-captions	MSRvid	2012test	0087	1.600	a cat is playing a key board .	a man is playing two keyboards .
main-captions	MSRvid	2012test	0089	4.750	a man chops down a tree with an axe .	a man cut a tree with an axe .
main-captions	MSRvid	2012test	0090	3.500	a kid plays with a toy phone .	a little boy plays with a toy phone .
main-captions	MSRvid	2012test	0093	1.400	a man is riding a motorcycle .	a man is riding a horse .
main-captions	MSRvid	2012test	0094	1.400	a man is riding a motorcycle .	a man is riding a horse .
main-captions	MSRvid	2012test	0099	4.000	a squirrel is spinning around in circles .	a squirrel runs around in circles .
main-captions	MSRvid	2012test	0101	5.000	a man and a woman are kissing .	a man and woman kiss .
main-captions	MSRvid	2012test	0102	3.833	a man is getting into a car .	a man is getting into a car in a garage .
main-captions	MSRvid	2012test	0104	0.600	a man is dancing .	a man is talking .
main-captions	MSRvid	2012test	0105	2.917	a man is playing the guitar and singing .	a man is playing the guitar .
main-captions	MSRvid	2012test	0106	4.200	a person is cutting mushrooms .	a person is cutting mushrooms with a knife .
main-captions	MSRvid	2012test	0108	2.000	a tiger cub is making a sound .	a tiger is walking around .
main-captions	MSRvid	2012test	0109	2.600	a person is slicing onions .	a person is peeling an onion .
main-captions	MSRvid	2012test	0110	1.600	a man is playing the piano .	a man is playing the trumpet .
main-captions	MSRvid	2012test	0111	2.000	a woman is peeling a potato .	a woman is peeling an apple .
main-captions	MSRvid	2012test	0112	4.200	a pankda is eating bamboo .	a panda bear is eating some bamboo .
main-captions	MSRvid	2012test	0113	2.000	a person is peeling an onion .	a person is peeling an eggplant .
main-captions	MSRvid	2012test	0114	4.800	a monkey pushes another monkey .	the monkey pushed the other monkey .
main-captions	MSRvid	2012test	0115	4.400	a squirrel runs around in circles .	a squirrel is moving in circles .
main-captions	MSRvid	2012test	0116	5.000	a man is tying his shoe .	a man ties his shoe .
main-captions	MSRvid	2012test	0117	3.000	a boy is singing and playing the piano .	a boy is playing the piano .
main-captions	MSRvid	2012test	0118	4.250	a dog is eating water melon .	a dog is eating a piece of watermelon .
main-captions	MSRvid	2012test	0119	4.250	a woman is chopping broccoli .	a woman is chopping broccoli with a knife .
main-captions	MSRvid	2012test	0120	3.800	a man is peeling a potato .	a man peeled a potatoe .
main-captions	MSRvid	2012test	0121	2.400	a woman is playing a guitar .	a man plays a guitar .
main-captions	MSRvid	2012test	0123	1.600	a woman is slicing tomato .	a man is slicing onion .
main-captions	MSRvid	2012test	0125	2.000	a man swims underwater .	a woman is swimming underwater .
main-captions	MSRvid	2012test	0126	1.600	a man and woman are talking .	a man and woman is eating .
main-captions	MSRvid	2012test	0129	4.000	a small dog is chasing a yoga ball .	a dog is chasing a ball .
main-captions	MSRvid	2012test	0130	2.200	the men are playing cricket .	the men are playing basketball .
main-captions	MSRvid	2012test	0131	4.400	a man rides off on a motorcycle .	a man is riding on a motorcycle .
main-captions	MSRvid	2012test	0132	3.600	a man is playing a guitar .	a man is singing and playing a guitar .
main-captions	MSRvid	2012test	0133	3.600	the man talked on the telephone .	the man is talking on the phone .
main-captions	MSRvid	2012test	0135	0.500	a man is fishing .	a man is exercising .
main-captions	MSRvid	2012test	0136	0.800	a man is levitating .	a man is talking .
main-captions	MSRvid	2012test	0138	0.600	two boys are driving .	two bays are dancing .
main-captions	MSRvid	2012test	0141	2.600	a man is riding on a horse .	a girl is riding a horse .
main-captions	MSRvid	2012test	0142	2.000	a man is riding a bicycle .	a monkey is riding a bike .
main-captions	MSRvid	2012test	0143	2.200	a man is slicing potatoes .	a woman is peeling potato .
main-captions	MSRvid	2012test	0144	2.400	a woman is peeling a potato .	a man is slicing potato .
main-captions	MSRvid	2012test	0145	3.600	a man is playing a guitar .	someoen is playing guitar .
main-captions	MSRvid	2012test	0148	2.200	a woman is slicing a leek .	a woman is slicing ginger .
main-captions	MSRvid	2012test	0149	4.800	the man cut a paper plate .	a man is cutting a paper plate .
main-captions	MSRvid	2012test	0151	1.643	the man is playing the guitar .	a man is playing the flute .
main-captions	MSRvid	2012test	0152	1.750	a man is playing the piano .	the man is playing the violin .
main-captions	MSRvid	2012test	0154	2.250	a woman is slicing up some meat .	a woman is breading some meat .
